今の気持ち,場所1,画像1,解説1,住所1,場所2,画像2,解説2,住所2
わくわく巨大公園,光が丘公園,pic/002.jpg,光が丘団地に隣接する練馬区最大の公園。キャッチボール、サッカーなどボール遊びができる。近くにショッピングモールやレストランあり。,東京都練馬区光が丘４丁目１?１,久松湯,pic/003.jpg,"2014年５月に新装開店。美術館のような斬新な建築の銭湯。
大きな天然温泉の露天風呂、人工炭酸泉、電気マッサージ風呂、冷水風呂、冷水シャワー、サウナなどを設置。浴室でプロジェクションマッピングによる光の演出が楽しめる。",東京都練馬区桜台４丁目３２?１５
平日の疲れを癒したい,石神井公園,pic/shakujiiーpark.jpg,２つの池を取り囲む緑あふれる公園。文豪や有名人が川のほとりの豪邸に住んでいる。なつかしのスワンボートに乗れる。池の周りを歩いて回ると自然を満喫できる。様々な鳥がいてバードウォッチングでも有名。,東京都練馬区石神井台１丁目２６?１,庭の湯,pic/niwanoーyu.jpg,"日本を代表する造園設計家、小形研三氏による1,200坪の清閑な日本庭園を臨む「豊島園 庭の湯」。
天然温泉をはじめ、健康促進に役立つバーデプールやサウナ、旬の味覚をお楽しみいただけるお食事処、日々の疲れを癒せるリラクゼーションエリアなど館内施設も充実している。
こだわりの大人の癒し空間で都会の喧噪を忘れ、やすらぎの時間を過ごすには最高の場所。",練馬区向山3丁目25-1
まったり散策,練馬城址公園,pic/nerimashoushi-park.jpg,"ハリーポッタースタジオツアー東京から、川沿いに5分程度歩くとある。
子供用の施設などもあり、芝生に座ったりゆったりできる。",東京都練馬区春日町１丁目,庭の湯,pic/niwanoーyu.jpg,"日本を代表する造園設計家、小形研三氏による1,200坪の清閑な日本庭園を臨む「豊島園 庭の湯」。
天然温泉をはじめ、健康促進に役立つバーデプールやサウナ、旬の味覚をお楽しみいただけるお食事処、日々の疲れを癒せるリラクゼーションエリアなど館内施設も充実している。
こだわりの大人の癒し空間で都会の喧噪を忘れ、やすらぎの時間を過ごすには最高の場所。",練馬区向山3丁目25-1
わくわく昭和レトロ,喫茶タイムマシン,pic/kissa-timemachine.jpg,レトロ＆ポップな1980年代にロックオンできる、テーマパーク的喫茶店。,東京都練馬区栄町34-5,江古田湯,pic/ekoda-yu.jpg,昭和の時代にタイムスリップできる、昭和レトロな浴場。,東京都練馬区旭丘１丁目１７?３ 江古田マンション 1F
まったりアート,ぐすたふ珈琲,pic/gusutafu-coffee.jpg,アートや演劇人も愛する香りと空間。元スナックの色香漂う空間で、香り深き至福の一杯。,東京都練馬区旭丘1丁目56-13 ,そるとぴーなっつ,pic/saltpeanuts-bar.jpg,1980年にオープンした自転車持ち込み可のユニークなジャズバー。金曜日と土曜日は「そるとでジャズ・ライブ」と称して、個性豊かなメンバーによるジャズの生演奏を行っている。また、ジャムセッションや新人プレイヤーが集う変則バンド、注目のリーダーライブなど、レアなライブも多数企画、開催している。席数はカウンター8席・テーブル18席で、グランドピアノが設置され、本格的なサウンドが楽しめる。,
ファミリーわくわく,練馬展望レストラン,pic/nerimatenbo-restaurant.jpg,練馬区役所20Fにある展望レストラン。練馬区在住の方以外には多分あまり知られていない穴場的なレストランではないでしょうか。展望台には以前訪れたことがあり、レストランが気になっていました。落ち着いていながら気取らない雰囲気で店員さんも感じ良く、窓側の席から夜景も綺麗に見えて楽しく過ごせました。,東京都練馬区豊玉北６-１２-１練馬区役所内２０Ｆ,トキワ荘マンガミュージアム,pic/tokiwaso-museum.jpg,かつて豊島区椎名町（現南長崎）にあったトキワ荘は、手塚治虫をはじめとするマンガの巨匠たちが住み集い、若き青春の日々を過ごした伝説のアパート。１９８２年１２月に解体されたが、多くの皆様のお力添えにより、マンガミュージアムとして開館した。当時の世界にタイムスリップできる。,東京都豊島区南長崎3-9-22南長崎花咲公園内
どきどきアクティブ,春日町バッティングセンター,pic/kasugacho-batingcenter.jpg,バッティング練習に！運動不足・ストレスの解消に！200円から楽しめるレジャー。,東京都練馬区春日町2丁目14-11,志村電機珈琲焙煎所,pic/shimuradenki-coffee-baisenjo.jpg,電機店と珈琲焙煎所のコラボ。豊島園駅から歩いて行ける宝箱のような街喫茶。,東京都練馬区春日町1-11-1
